m,n,path,status,gates,depth,cx,runtime_s,certificate,bits_repr
4,5,semantic_ucc,completed,25,21,8,0.89688,numerical_pass,18
4,5,qiskit_opt3,completed,68,38,32,0.015571,numerical_pass,576
4,5,tket_paulisimp_rebased,completed,54,20,10,0.203807,numerical_pass,576
4,5,staq_rotation_folding,completed,40,27,32,0.018695,numerical_pass,576
4,5,phase_poly_reference,completed,25,21,8,0.012075,numerical_pass,18
8,9,semantic_ucc,completed,49,41,16,0.887099,symbolic_pass,24
8,9,qiskit_opt3,completed,136,54,64,0.013927,symbolic_pass,1344
8,9,tket_paulisimp_rebased,predicate_error,126,60,46,0.197365,symbolic_fail,1344
8,9,staq_rotation_folding,completed,80,39,64,0.017803,symbolic_pass,1344
8,9,phase_poly_reference,completed,49,41,16,0.010766,symbolic_pass,24
16,17,semantic_ucc,completed,97,81,32,0.907167,symbolic_pass,34
16,17,qiskit_opt3,completed,272,86,128,0.014618,symbolic_pass,3072
16,17,tket_paulisimp_rebased,predicate_error,312,158,160,0.211172,symbolic_fail,3072
16,17,staq_rotation_folding,completed,160,63,128,0.0209,symbolic_pass,3072
16,17,phase_poly_reference,completed,97,81,32,0.011096,symbolic_pass,34
32,33,semantic_ucc,completed,193,161,64,0.927436,symbolic_pass,52
32,33,qiskit_opt3,completed,544,150,256,0.017159,symbolic_pass,6912
32,33,tket_paulisimp_rebased,predicate_error,930,556,634,0.254901,symbolic_fail,6912
32,33,staq_rotation_folding,completed,320,111,256,0.031299,symbolic_pass,6912
32,33,phase_poly_reference,completed,193,161,64,0.012216,symbolic_pass,52
64,65,semantic_ucc,completed,385,321,128,0.995742,symbolic_pass,86
64,65,qiskit_opt3,completed,1088,278,512,0.022308,symbolic_pass,15360
64,65,tket_paulisimp_rebased,predicate_error,3024,2110,2440,0.471101,symbolic_fail,15360
64,65,staq_rotation_folding,completed,640,207,512,0.072755,symbolic_pass,15360
64,65,phase_poly_reference,completed,385,321,128,0.015087,symbolic_pass,86
