experiment,representation,compiler,m,beta,retained_coordinates,B_com_bytes,B_cross_bytes,control_bytes,store_bytes,window_bytes,parameter_bytes,ir_bytes,rss_bytes,runtime_ns,resume_verified,final_output_bytes
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,8,0.0,0,16,24,13,2,3,3,3,24608768,77250,True,24
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,8,0.25,2,14,26,13,4,3,3,3,24608768,39917,True,22
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,8,0.5,4,12,28,13,6,3,3,3,24625152,41500,True,20
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,8,0.75,6,10,30,13,8,3,3,3,24641536,47208,True,18
masked_share_cut_20260801,flat_two_round,deferred_reference,8,1.0,8,8,32,13,10,3,3,3,24641536,36583,True,16
masked_share_cut_20260801,semantic_aggregate,semantic_stream_artifact,8,1.0,0,9,24,13,2,3,3,3,24657920,12291,True,16
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,16,0.0,0,24,24,13,2,3,3,3,24674304,92542,True,40
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,16,0.25,4,20,28,13,6,3,3,3,24690688,80167,True,36
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,16,0.5,8,16,32,13,10,3,3,3,24707072,73541,True,32
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,16,0.75,12,12,36,13,14,3,3,3,24723456,70125,True,28
masked_share_cut_20260801,flat_two_round,deferred_reference,16,1.0,16,8,40,13,18,3,3,3,24739840,67750,True,24
masked_share_cut_20260801,semantic_aggregate,semantic_stream_artifact,16,1.0,0,9,24,13,2,3,3,3,24756224,6292,True,24
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,32,0.0,0,40,24,13,2,3,3,3,24805376,169625,True,72
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,32,0.25,8,32,32,13,10,3,3,3,24838144,173209,True,64
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,32,0.5,16,24,40,13,18,3,3,3,24887296,161833,True,56
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,32,0.75,24,16,48,13,26,3,3,3,24920064,242042,True,48
masked_share_cut_20260801,flat_two_round,deferred_reference,32,1.0,32,8,56,13,34,3,3,3,24952832,159125,True,40
masked_share_cut_20260801,semantic_aggregate,semantic_stream_artifact,32,1.0,0,9,24,13,2,3,3,3,24969216,8916,True,40
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,64,0.0,0,72,24,13,2,3,3,3,25034752,410417,True,136
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,64,0.25,16,56,40,13,18,3,3,3,25116672,418875,True,120
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,64,0.5,32,40,56,13,34,3,3,3,25214976,407042,True,104
masked_share_cut_20260801,flat_two_round,memory_capped_hybrid_artifact,64,0.75,48,24,72,13,50,3,3,3,25264128,506958,True,88
masked_share_cut_20260801,flat_two_round,deferred_reference,64,1.0,64,8,88,13,66,3,3,3,25346048,387625,True,72
masked_share_cut_20260801,semantic_aggregate,semantic_stream_artifact,64,1.0,0,9,24,13,2,3,3,3,25378816,13500,True,72
