cells,compiler,completed,completion_ci95_high,completion_ci95_low,completion_rate,factor,gates_ci95_high,gates_ci95_low,gates_mean,level,runtime_s_ci95_high,runtime_s_ci95_low,runtime_s_mean
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,3.0,3.0,3.0,4,0.08279807942027281,0.08205620629401289,0.08242714285714285
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,3.0,3.0,3.0,4,0.0823416224829554,0.08175180608847318,0.08204671428571429
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,3.0,3.0,3.0,4,0.09345214487553231,0.09293328369589625,0.09319271428571428
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,33.0,33.0,33.0,4,0.2619935814018373,0.26090584716959125,0.2614497142857143
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,13.0,13.0,13.0,4,0.19968340766256723,0.19800830662314703,0.19884585714285713
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,12.0,12.0,12.0,5,0.08676647351027456,0.08459952648972544,0.085683
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,12.0,12.0,12.0,5,0.08491308725450991,0.0844954841740615,0.0847042857142857
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,36.7766474916093,10.93763822267641,23.857142857142858,5,0.09738972766388579,0.09550827233611422,0.09644900000000001
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,48.0,48.0,48.0,5,0.27217889516608257,0.26893739054820315,0.27055814285714286
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,66.0,66.0,66.0,5,0.21035009311136227,0.20591647831720916,0.20813328571428572
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,6.0,6.0,6.0,6,0.08620965750392073,0.08457005678179355,0.08538985714285714
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,6.0,6.0,6.0,6,0.0859194922137338,0.08403107921483763,0.08497528571428571
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,6.0,6.0,6.0,6,0.09708230890142334,0.09597169109857666,0.096527
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,48.0,48.0,48.0,6,0.27969368036918846,0.2743868910593829,0.2770402857142857
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,26.0,26.0,26.0,6,0.212879824905182,0.20624017509481798,0.20956
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,21.0,21.0,21.0,7,0.0871255347132675,0.08442275100101823,0.08577414285714287
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,21.0,21.0,21.0,7,0.09235913264642011,0.08378401021072275,0.08807157142857143
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,137.17038296925656,21.68675988788629,79.42857142857143,7,0.14708224938562486,0.08204146490008943,0.11456185714285715
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,90.69142857142857,88.45142857142856,89.57142857142857,7,0.3210211934021419,0.3173176637407153,0.3191694285714286
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,205.0,205.0,205.0,7,0.3049182846876779,0.29433714388375065,0.2996277142857143
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,12.0,12.0,12.0,8,0.08366248698410454,0.08278265587303833,0.08322257142857144
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,12.0,12.0,12.0,8,0.0867217497398587,0.08226225026014129,0.084492
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,12.0,12.0,12.0,8,0.09771148866803638,0.09426908276053504,0.09599028571428571
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,66.0,66.0,66.0,8,0.39166971692120933,0.3799965687930764,0.3858331428571429
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,52.0,52.0,52.0,8,0.2041266694237169,0.20171333057628307,0.20292
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,10,0.08634271199168954,0.08483328800831046,0.085588
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,10,0.08697363568641332,0.0855349357421581,0.08625428571428571
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,161.26087038532017,13.73912961467984,87.5,10,0.09846035887247767,0.09617097446085568,0.09731566666666668
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,148.03428571428572,137.39428571428573,142.71428571428572,10,0.40208898342900984,0.39769987371384735,0.3998944285714286
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,382.0,382.0,382.0,10,0.25471949241836683,0.2309839361530617,0.24285171428571428
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,27.0,27.0,27.0,12,0.08537069051623829,0.08471245234090456,0.08504157142857142
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,27.0,27.0,27.0,12,0.10038321321485424,0.07996135821371719,0.09017228571428572
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,43.828035162883985,25.171964837116015,34.5,12,0.09795644459533998,0.09593588873799336,0.09694616666666667
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,118.07428571428571,111.35428571428571,114.71428571428571,12,0.39349513074430986,0.3905242978271187,0.3920097142857143
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,149.0,149.0,149.0,12,0.21396421186136594,0.21213150242434836,0.21304785714285715
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,14,0.08549308262657959,0.08478120308770615,0.08513714285714287
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,14,0.08601692820277268,0.08513421465437018,0.08557557142857143
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,49.064018174918104,27.935981825081896,38.5,14,0.09659931988161033,0.09628668011838967,0.096443
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,137.61142857142858,127.53142857142859,132.57142857142858,14,0.40242920872582194,0.39265907698846375,0.39754414285714285
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,178.0,178.0,178.0,14,0.21788035204240644,0.21546964795759357,0.216675
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,36.0,36.0,36.0,16,0.08580944179752549,0.08423770105961735,0.08502357142857142
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,36.0,36.0,36.0,16,0.08604144036116114,0.08469084535312456,0.08536614285714285
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,180.84,18.159999999999997,99.5,16,0.09807274308197479,0.09592292358469189,0.09699783333333334
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,177.38285714285715,172.90285714285713,175.14285714285714,16,0.4062365700160088,0.3976897156982769,0.40196314285714285
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,254.0,254.0,254.0,16,0.24647950463017576,0.22659449536982423,0.236537
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,20,0.08565246586943971,0.08474496270198885,0.08519871428571428
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,20,0.08821122809280557,0.084468200478623,0.08633971428571428
7,qiskit_opt3,7,1.0,0.6456611570247934,1.0,m,44.84192206864611,30.586649359925318,37.714285714285715,20,0.1003379286915825,0.09540092845127462,0.09786942857142857
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,178.0,178.0,178.0,20,0.4052719862108835,0.39765515664625933,0.4014635714285714
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,210.0,210.0,210.0,20,0.22181207355744295,0.21940392644255705,0.220608
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,72.0,72.0,72.0,24,0.08739050065244992,0.08553235649040723,0.08646142857142858
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,72.0,72.0,72.0,24,0.08728212984003414,0.08622015587425155,0.08675114285714285
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,209.50206179057807,55.497938209421946,132.5,24,0.10015281977964344,0.09697651355368991,0.09856466666666668
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,532.5714285714286,518.5714285714286,525.5714285714286,24,0.47116152628356617,0.46468504514500536,0.46792328571428576
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,1922.0,1922.0,1922.0,24,0.5175115468938949,0.46984502453467647,0.4936782857142857
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,96.0,96.0,96.0,32,0.1051489462773298,0.08406419657981305,0.09460657142857143
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,96.0,96.0,96.0,32,0.10674261126372493,0.08552853159341793,0.09613557142857143
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,158.26721789272187,88.73278210727813,123.5,32,0.11234018372128782,0.09506514961204551,0.10370266666666667
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,866.1142857142856,863.3142857142857,864.7142857142857,32,0.6396896464796911,0.5449117820917375,0.5923007142857143
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,3330.0,3330.0,3330.0,32,1.0270503669305366,0.8712519187837492,0.9491511428571429
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,40,0.08529708390337569,0.08480005895376717,0.08504857142857143
7,phase_polynomial_reference,7,1.0,0.6456611570247934,1.0,m,30.0,30.0,30.0,40,0.08585334701273117,0.08501236727298314,0.08543285714285716
7,qiskit_opt3,6,0.9743210440510253,0.48686549668097007,0.8571428571428571,m,41.381297673671085,28.618702326328915,35.0,40,0.09702554110709086,0.09638845889290915,0.096707
7,tket_paulisimp,7,1.0,0.6456611570247934,1.0,m,281.3828571428572,276.90285714285716,279.14285714285717,40,0.4088762045921382,0.4059072239792903,0.40739171428571425
7,pyzx_full_reduce,7,1.0,0.6456611570247934,1.0,m,134.0,134.0,134.0,40,0.2238818786801798,0.2191518356055345,0.22151685714285715
7,semantic_reference,7,1.0,0.6456611570247934,1.0,m,72.0,72.0,72.0,48,0.08749361450919287,0.08627209977652144,0.08688285714285715
