ci95_high,ci95_low,factor,gate_reduction_on_minus_off,paired_samples,workload
131.81586068680207,84.18413931319793,semantic_lift,108.0,80,qaoa_ising
666.4024068054994,425.59759319450063,semantic_lift,546.0,80,diagonal_hamiltonian
91.53879214361254,58.46120785638745,semantic_lift,75.0,80,qft_arithmetic
51.261723600423025,32.738276399576975,semantic_lift,42.0,80,qpe_controlled_powers
102.52344720084605,65.47655279915395,semantic_lift,84.0,80,ising_trotter
0.0,0.0,semantic_lift,0.0,80,negative_random_clifford
0.0,0.0,semantic_lift,0.0,80,negative_routing
0.0,0.0,selector,0.0,80,qaoa_ising
0.0,0.0,selector,0.0,80,diagonal_hamiltonian
0.0,0.0,selector,0.0,80,qft_arithmetic
0.0,0.0,selector,0.0,80,qpe_controlled_powers
0.0,0.0,selector,0.0,80,ising_trotter
0.0,0.0,selector,0.0,80,negative_random_clifford
0.0,0.0,selector,0.0,80,negative_routing
0.0,0.0,cache,0.0,80,qaoa_ising
0.0,0.0,cache,0.0,80,diagonal_hamiltonian
0.0,0.0,cache,0.0,80,qft_arithmetic
0.0,0.0,cache,0.0,80,qpe_controlled_powers
0.0,0.0,cache,0.0,80,ising_trotter
0.0,0.0,cache,0.0,80,negative_random_clifford
0.0,0.0,cache,0.0,80,negative_routing
131.81586068680207,84.18413931319793,preset,108.0,80,qaoa_ising
666.4024068054994,425.59759319450063,preset,546.0,80,diagonal_hamiltonian
91.53879214361254,58.46120785638745,preset,75.0,80,qft_arithmetic
51.261723600423025,32.738276399576975,preset,42.0,80,qpe_controlled_powers
102.52344720084605,65.47655279915395,preset,84.0,80,ising_trotter
0.0,0.0,preset,0.0,80,negative_random_clifford
-28.0,-28.0,preset,-28.0,80,negative_routing
0.0,0.0,projected_selection,0.0,80,qaoa_ising
0.0,0.0,projected_selection,0.0,80,diagonal_hamiltonian
0.0,0.0,projected_selection,0.0,80,qft_arithmetic
0.0,0.0,projected_selection,0.0,80,qpe_controlled_powers
0.0,0.0,projected_selection,0.0,80,ising_trotter
0.0,0.0,projected_selection,0.0,80,negative_random_clifford
0.0,0.0,projected_selection,0.0,80,negative_routing
