cache,cache_hits,cache_misses,cell_id,certificate_kind,certificate_passed,cx,depth,formal_theorem_evidence,gates,ir_nodes_input,ir_nodes_selected,memory_cap_bytes,output_serialized_bits,preset,preset_contract,projected_selection,rss_bytes,runtime_s,seed,selected_candidate,selector,semantic_lift,status,timeout_s,workload,workload_class
0,0,4,NF25-a132d4dd77381268,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,0,79560704,0.001728000002913177,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
0,0,4,NF25-84f2ba68e61b922e,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,1,79724544,0.0017860829830169678,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
0,0,4,NF25-8cdc738254c8ca5e,exact_region_phase_tables_and_boundary_sequence,True,104,69,False,156,416,416,2147483648,18608,1,qiskit transformation contract,0,80461824,0.0037501659244298935,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
0,0,4,NF25-2ffdc3cee06231d7,exact_region_phase_tables_and_boundary_sequence,True,104,69,False,156,416,416,2147483648,18608,1,qiskit transformation contract,1,80625664,0.003899291972629726,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
1,3,1,NF25-5f8543dae22c84ea,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,0,80625664,0.0005817919736728072,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
1,3,1,NF25-54ee7a7edeee36de,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,1,80658432,0.0006116250297054648,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
1,3,1,NF25-56c2f424c1fe0940,exact_region_phase_tables_and_boundary_sequence,True,104,69,False,156,416,416,2147483648,18608,1,qiskit transformation contract,0,80773120,0.002562292036600411,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
1,3,1,NF25-eaae48c67c1c4710,exact_region_phase_tables_and_boundary_sequence,True,104,69,False,156,416,416,2147483648,18608,1,qiskit transformation contract,1,80855040,0.0025445420760661364,20260801,flat,0,0,completed,5.0,diagonal_hamiltonian,positive_semantic
0,0,4,NF25-4a56a3cc2be273cb,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,0,80871424,0.00180004199501127,20260801,flat,1,0,completed,5.0,diagonal_hamiltonian,positive_semantic
0,0,4,NF25-2c9c83f83e31114f,exact_region_phase_tables_and_boundary_sequence,True,832,552,False,1248,416,416,2147483648,153496,0,not used,1,80887808,0.0017499580280855298,20260801,flat,1,0,completed,5.0,diagonal_hamiltonian,positive_semantic
