cx_reduction_ci95_high,cx_reduction_ci95_low,cx_reduction_mean,depth_reduction_ci95_high,depth_reduction_ci95_low,depth_reduction_mean,gates_reduction_ci95_high,gates_reduction_ci95_low,gates_reduction_mean,output_serialized_bits_reduction_ci95_high,output_serialized_bits_reduction_ci95_low,output_serialized_bits_reduction_mean,paired_samples,scope,workload,workload_class
87.87724045786806,56.12275954213195,72.0,131.81586068680207,84.18413931319793,108.0,131.81586068680207,84.18413931319793,108.0,17614.504642888216,11249.495357111782,14432.0,80,all,qaoa_ising,positive_semantic
94.5972850649739,49.402714935026104,72.0,141.89592759746085,74.10407240253916,108.0,141.89592759746085,74.10407240253916,108.0,18961.500250801433,9902.499749198567,14432.0,40,selector_off,qaoa_ising,positive_semantic
144.0,144.0,144.0,216.0,216.0,216.0,216.0,216.0,216.0,28864.0,28864.0,28864.0,20,selector_and_preset_off,qaoa_ising,positive_semantic
444.26827120366625,283.73172879633375,364.0,279.7549107024324,173.24508929756757,226.5,666.4024068054994,425.59759319450063,546.0,82316.56396445073,52571.43603554927,67444.0,80,all,diagonal_hamiltonian,positive_semantic
478.24183005070137,249.75816994929863,364.0,302.29506032209997,150.70493967790006,226.5,717.3627450760521,374.637254923948,546.0,88611.37908225137,46276.62091774862,67444.0,40,selector_off,diagonal_hamiltonian,positive_semantic
728.0,728.0,728.0,468.0,468.0,468.0,1092.0,1092.0,1092.0,134888.0,134888.0,134888.0,20,selector_and_preset_off,diagonal_hamiltonian,positive_semantic
61.025861429075036,38.974138570924964,50.0,64.07715450052879,40.922845499471215,52.5,91.53879214361254,58.46120785638745,75.0,10374.396442942756,6625.603557057244,8500.0,80,all,qft_arithmetic,positive_semantic
65.69255907289853,34.30744092710146,50.0,68.97718702654346,36.02281297345654,52.5,98.5388386093478,51.461161390652194,75.0,11167.735042392751,5832.264957607249,8500.0,40,selector_off,qft_arithmetic,positive_semantic
100.0,100.0,100.0,105.0,105.0,105.0,150.0,150.0,150.0,17000.0,17000.0,17000.0,20,selector_and_preset_off,qft_arithmetic,positive_semantic
34.17448240028202,21.825517599717983,28.0,51.261723600423025,32.738276399576975,42.0,51.261723600423025,32.738276399576975,42.0,6107.46821182183,3900.5317881781707,5004.0,80,all,qpe_controlled_powers,positive_semantic
36.787833080823184,19.212166919176816,28.0,55.18174962123477,28.818250378765228,42.0,55.18174962123477,28.818250378765228,42.0,6574.511312015686,3433.4886879843143,5004.0,40,selector_off,qpe_controlled_powers,positive_semantic
56.0,56.0,56.0,84.0,84.0,84.0,84.0,84.0,84.0,10008.0,10008.0,10008.0,20,selector_and_preset_off,qpe_controlled_powers,positive_semantic
68.34896480056403,43.65103519943597,56.0,47.600171914678526,30.399828085321474,39.0,102.52344720084605,65.47655279915395,84.0,11687.67298089645,7464.32701910355,9576.0,80,all,ising_trotter,positive_semantic
73.57566616164637,38.42433383835363,56.0,51.240196076860855,26.759803923139142,39.0,110.36349924246954,57.636500757530456,84.0,12581.438913641528,6570.561086358472,9576.0,40,selector_off,ising_trotter,positive_semantic
112.0,112.0,112.0,78.0,78.0,78.0,168.0,168.0,168.0,19152.0,19152.0,19152.0,20,selector_and_preset_off,ising_trotter,positive_semantic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,all,negative_random_clifford,negative_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,selector_off,negative_random_clifford,negative_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,selector_and_preset_off,negative_random_clifford,negative_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,all,negative_routing,negative_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,selector_off,negative_routing,negative_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,selector_and_preset_off,negative_routing,negative_control
