bridge_certified,cells,completed,completion_probability,max_abs_bridge_delta_cx,max_abs_bridge_delta_depth,max_abs_bridge_delta_gates,median_bridge_delta_cx,median_bridge_delta_depth,median_bridge_delta_gates,median_bridge_delta_ir_bytes,median_bridge_serialized_bytes,median_certificate_gate_ratio,median_certificate_output_cx,median_certificate_output_depth,median_certificate_output_gates,median_certificate_output_ir_bytes,median_compiler_runtime_s,median_native_output_cx,median_native_output_depth,median_native_output_gates,median_native_output_ir_bytes,median_pre_bridge_cx,median_pre_bridge_depth,median_pre_bridge_gates,median_pre_bridge_ir_bytes,median_rss_peak_bytes,median_wall_runtime_s,representation,status_completed,status_correctness_failure,status_memory_error,status_predicate_error,status_timeout,status_unsupported,tool
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,755.5,0.25,20.0,10.5,30.0,4391.5,0.0007384579512290657,0.0,1.0,10.0,755.5,80.0,30.0,120.0,18339.5,106856448.0,0.32562189595773816,contiguous_flat,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,755.5,0.5,20.0,10.5,30.0,4391.5,0.0006072499672882259,0.0,1.0,10.0,755.5,40.0,15.0,60.0,9039.5,106823680.0,0.32070004154229537,locally_folded_flat,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,755.5,0.25,20.0,10.5,30.0,4391.5,0.0007241250132210553,0.0,1.0,10.0,755.5,80.0,25.5,120.0,18323.5,106905600.0,0.3365068124840036,masked_share_update,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,755.5,1.0,20.0,10.5,30.0,4391.5,0.0004798125592060387,0.0,1.0,10.0,755.5,20.0,10.5,30.0,4342.5,106823680.0,0.3210958120180294,qasm_bridge,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,755.5,0.25,20.0,10.5,30.0,4391.5,0.0007479374762624502,0.0,1.0,10.0,755.5,80.0,24.0,120.0,18345.0,107028480.0,0.33587800001259893,random_commuting_order,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,755.5,0.25,20.0,10.5,30.0,4391.5,0.0007395619759336114,0.0,1.0,10.0,755.5,80.0,25.5,120.0,18337.5,106913792.0,0.3315012499806471,round_robin_flat,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,755.5,1.0,20.0,10.5,30.0,4391.5,0.0004831665428355336,0.0,1.0,10.0,755.5,20.0,10.5,30.0,4349.5,106766336.0,0.32064304198138416,semantic_aggregate,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,755.5,1.0,20.0,10.5,30.0,4391.5,0.0004862080095335841,0.0,1.0,10.0,755.5,20.0,10.5,30.0,4342.5,106708992.0,0.3166340624447912,tket_bridge,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,755.5,1.0,20.0,10.5,30.0,4391.5,0.0004913960001431406,0.0,1.0,10.0,755.5,20.0,10.5,30.0,4340.5,106766336.0,0.3220300414832309,zx_bridge,24,0,0,0,0,0,authors_exact_phase_table
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,5917.5,0.30208333333333337,37.0,13.5,48.0,7028.5,0.009010083507746458,37.0,13.5,48.0,2335.5,80.0,30.0,120.0,18339.5,156016640.0,0.544483229459729,contiguous_flat,24,0,0,0,0,0,pytket
