cells,compiler,completed,completion_ci95_high,completion_ci95_low,completion_probability,output_cx_mean_completed,output_cx_median_completed,output_depth_mean_completed,output_depth_median_completed,output_gates_mean_completed,output_gates_median_completed,representation,rss_peak_bytes_mean_completed,rss_peak_bytes_median_completed,serialized_input_bytes_mean_completed,serialized_input_bytes_median_completed,serialized_input_ir_bytes_mean_completed,serialized_input_ir_bytes_median_completed,serialized_output_bytes_mean_completed,serialized_output_bytes_median_completed,serialized_output_ir_bytes_mean_completed,serialized_output_ir_bytes_median_completed,status_completed,status_correctness_failure,status_memory_error,status_predicate_error,status_timeout,status_unsupported,wall_runtime_s_mean_completed,wall_runtime_s_median_completed
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,semantic_aggregate,106121216.0,106061824.0,1509.0,1034.0,6450.833333333333,4349.5,918.3333333333334,653.5,6460.833333333333,4359.5,24,0,0,0,0,0,0.3089647691328234,0.3098645420395769
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,semantic_aggregate,106119850.66666667,106061824.0,1509.0,1034.0,6450.833333333333,4349.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.3095538056368241,0.3142716670408845
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,semantic_aggregate,109103786.66666667,109060096.0,1509.0,1034.0,6450.833333333333,4349.5,913.3333333333334,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.3189632481711063,0.3106671874411404
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,semantic_aggregate,156752554.66666666,156278784.0,1509.0,1034.0,6450.833333333333,4349.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.5730413888813928,0.5685475625214167
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,semantic_aggregate,108952234.66666667,108593152.0,1509.0,1034.0,6450.833333333333,4349.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.3606947932227437,0.3338400619686581
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,160.0,80.0,77.5,30.0,240.0,120.0,contiguous_flat,106452992.0,106225664.0,7192.666666666667,3637.0,37195.25,18339.5,4606.083333333333,2295.5,37208.25,18352.5,24,0,0,0,0,0,0.3400210242446822,0.33212122949771583
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,contiguous_flat,106250922.66666667,106102784.0,7192.666666666667,3637.0,37195.25,18339.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.31607490980726044,0.31591670849593356
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,contiguous_flat,109262165.33333333,109166592.0,7192.666666666667,3637.0,37195.25,18339.5,914.1666666666666,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.32541880375356413,0.3269442500313744
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,contiguous_flat,157105493.33333334,156680192.0,7192.666666666667,3637.0,37195.25,18339.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.5841175363845347,0.5791869585518725
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,contiguous_flat,109045760.0,108691456.0,7192.666666666667,3637.0,37195.25,18339.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.38195020996014745,0.34838110400596634
