compiler,completed_cells,distinct_m,metric,model,r_squared,representation,scaling_exponent,standard_error
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,semantic_aggregate,0.8312462136594457,0.021102005804517817
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,semantic_aggregate,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.991929484816702,semantic_aggregate,0.8382327682981535,0.020605113496455784
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.993031131807432,semantic_aggregate,0.9792119368681077,0.01947828813028992
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,semantic_aggregate,1.012187676668501,0.053774917714310554
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9991351752505294,contiguous_flat,0.9706853063704486,0.009908299780021428
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,contiguous_flat,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9918725366041199,contiguous_flat,0.8386890647474584,0.020692388166395115
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.993031131807432,contiguous_flat,0.9792119368681077,0.01947828813028992
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,contiguous_flat,1.012187676668501,0.053774917714310554
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9991351752505294,round_robin_flat,0.9706853063704486,0.009908299780021428
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,round_robin_flat,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9789704663467598,round_robin_flat,0.899245591995703,0.05114597852352644
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9930389010685724,round_robin_flat,0.9791905918125082,0.01946837223849088
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,round_robin_flat,1.012187676668501,0.053774917714310554
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9991351752505294,random_commuting_order,0.9706853063704486,0.009908299780021428
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,random_commuting_order,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.982592070432852,random_commuting_order,0.8706151738984206,0.04250370449673256
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9930347699482653,random_commuting_order,0.979212995586003,0.019473418540877828
