effect,factor,workload_class,metric,sign_convention,n,mean,median,ci95_low,ci95_high
main,semantic_lift,natural_positive,gates,off_minus_on; positive is reduction,8064,72.22420634920636,0.0,66.30138578869048,78.14121713789682
main,semantic_lift,natural_positive,depth,off_minus_on; positive is reduction,8064,48.26686507936508,0.0,44.2958984375,52.26136532738095
main,semantic_lift,natural_positive,cx,off_minus_on; positive is reduction,8064,60.79761904761905,0.0,55.52545262896825,66.07969370039682
main,semantic_lift,natural_positive,logical_t_states,off_minus_on; positive is reduction,8064,1084.3531746031747,0.0,1004.2598400297619,1166.0966455853174
main,semantic_lift,natural_positive,spacetime_qubit_seconds,off_minus_on; positive is reduction,8064,7864.955121797619,0.0,7278.913503988281,8459.298285194682
main,semantic_lift,natural_positive,runtime_s,off_minus_on; positive is reduction,8064,-0.00039687371036196717,-0.0003114165156148374,-0.0004147143661276416,-0.0003799642114855155
main,semantic_lift,natural_positive,description_bits,off_minus_on; positive is reduction,8064,3830.6984126984125,0.0,3556.0214285714287,4106.77628968254
main,semantic_lift,natural_positive,output_ir_bytes,off_minus_on; positive is reduction,8064,1064.7142857142858,0.0,977.9836061507937,1150.5245070684523
main,semantic_lift,negative_control,gates,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,semantic_lift,negative_control,depth,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,semantic_lift,negative_control,cx,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,semantic_lift,negative_control,logical_t_states,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,semantic_lift,negative_control,spacetime_qubit_seconds,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,semantic_lift,negative_control,runtime_s,off_minus_on; positive is reduction,2304,-0.00033891246104960574,-0.0002448754967190325,-0.00037065756594453585,-0.0003124088827083445
main,semantic_lift,negative_control,description_bits,off_minus_on; positive is reduction,2304,-16.0,-16.0,-16.65277777777778,-15.36111111111111
main,semantic_lift,negative_control,output_ir_bytes,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
