factor_a,factor_b,metric,sign_convention,n,mean,median,ci95_low,ci95_high
semantic_lift,aggregation,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,-144.4484126984127,0.0,-155.72921006944443,-133.20704985119048
semantic_lift,aggregation,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,-121.5952380952381,0.0,-131.7292534722222,-111.56994047619048
semantic_lift,aggregation,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,-0.0003616821111733323,-0.00019091786816716194,-0.0003935473382041112,-0.0003299034891485448
semantic_lift,selector,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,selector,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,selector,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,8.600730472521501e-05,5.716603482142091e-05,6.225367495510057e-05,0.00010905132702328769
semantic_lift,cache_reuse,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,cache_reuse,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,cache_reuse,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,-0.00010908498924912973,-5.620700540021062e-05,-0.00013283801052903219,-8.518249514891646e-05
semantic_lift,preset_recognizer,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,144.4484126984127,0.0,133.13746899801586,155.97739955357142
semantic_lift,preset_recognizer,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,121.5952380952381,0.0,111.58179563492064,131.8971974206349
semantic_lift,preset_recognizer,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0001378912533081824,2.183410106226802e-05,0.00010805482042924846,0.000166498210086906
semantic_lift,projected_block_selection,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,projected_block_selection,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
semantic_lift,projected_block_selection,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,-0.00011949971465380966,-8.933304343372583e-05,-0.00014320539210328006,-9.711339820973483e-05
aggregation,selector,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
aggregation,selector,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
aggregation,selector,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,-6.665121258092335e-05,-4.2791536543518305e-05,-8.867232635970545e-05,-4.316717335790426e-05
aggregation,cache_reuse,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
aggregation,cache_reuse,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,0.0,0.0,0.0,0.0
aggregation,cache_reuse,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,-6.440654466305637e-06,7.708498742431402e-06,-2.925475706245971e-05,1.6710974967368423e-05
aggregation,preset_recognizer,gates,y11-y10-y01+y00; negative is synergistic reduction,4032,160.8531746031746,30.0,149.68084077380954,172.0818824404762
aggregation,preset_recognizer,cx,y11-y10-y01+y00; negative is synergistic reduction,4032,132.53174603174602,20.0,122.45248015873017,142.47881944444444
aggregation,preset_recognizer,runtime_s,y11-y10-y01+y00; negative is synergistic reduction,4032,0.00017704974379739724,3.916647983714938e-05,0.0001483166930368512,0.00020678402840588653
