compiler,log2_intercept,log2_slope,metric,points,r_squared,slice
echo,10.001254731322923,0.8803140113045378,A_p_bits,5,0.9979046516848332,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
echo,11.661778097771988,0.0,S_cross_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
echo,10.681521792846258,0.9346258085504507,B_output_bits,5,0.9993703360718933,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
echo,7.523561956057013,0.0,max_IR_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
echo,18.146930768562484,0.8701743433944845,wall_time_ns,5,0.9734214052454112,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
full_aggregation,10.257387842692651,0.0,A_p_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
full_aggregation,11.85979665783031,0.019574537736021115,S_cross_bits,5,0.8658544655270022,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
full_aggregation,9.934299599309476,0.8552464797694117,B_output_bits,5,0.9969548047235375,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
full_aggregation,7.523561956057013,0.0,max_IR_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
full_aggregation,18.136288624882113,0.9920148087625709,wall_time_ns,5,0.9786201398334275,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_25,9.80085276193152,0.8443736373556755,A_p_bits,5,0.9964857629423517,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_25,11.850046932882067,0.005227842523132509,S_cross_bits,5,0.8315853920318232,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_25,10.53043810098803,0.9225426347111089,B_output_bits,5,0.9991197518814676,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_25,7.523561956057013,0.0,max_IR_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_25,18.430486384025233,0.833338657753291,wall_time_ns,5,0.9938014500083142,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_50,9.556536067777216,0.7883442879169633,A_p_bits,5,0.9935540246972573,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_50,11.838579243745672,0.010077321156065544,S_cross_bits,5,0.8614888307776887,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_50,10.347283521202343,0.909113531996314,B_output_bits,5,0.9987902872616388,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_50,7.523561956057013,0.0,max_IR_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_50,18.47076203684866,0.8578339760049356,wall_time_ns,5,0.9967873035244017,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_75,9.33527457019747,0.6651095343680844,A_p_bits,5,0.9841610450618915,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_75,11.829783891471267,0.014545148846989875,S_cross_bits,5,0.8670628041410713,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_75,10.13967710967502,0.8900086229417388,B_output_bits,5,0.9982329715248803,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_75,7.523561956057013,0.0,max_IR_bits,5,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
hybrid_75,18.46565971278315,0.875278429589424,wall_time_ns,5,0.9965511404811659,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
ir_materializing,10.257387842692651,0.0,A_p_bits,4,1.0,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
ir_materializing,11.673246905754656,0.799101798608232,S_cross_bits,4,0.9964893627555886,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
ir_materializing,10.04159896847191,0.8194800233819339,B_output_bits,4,0.9971640027039493,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
ir_materializing,11.457194618562221,0.9693471300828914,max_IR_bits,4,0.9999182231188167,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
ir_materializing,18.059212537511186,1.616635175401098,wall_time_ns,4,0.9952813724944912,"r=2,K=8,epsilon_factor=0.5,p=1,round_major,seed=20260801"
