A_p_bits,B_output_bits,K,L_delta_bits,Q,S_cross_bits,S_global_bits,Sigma_p_bits,anomalies,cap_coordinates,cap_envelope_residual_bits,compiler,cross_IR_bits,cross_control_bits,cross_parameter_bits,cross_store_bits,cross_window_bits,crossing_count,delta,epsilon,epsilon_factor,epsilon_valid,event_count,exact_transcript_residual_bits,m,manifest_path,manifest_sha256,max_IR_bits,max_control_bits,max_parameter_bits,max_store_bits,max_window_bits,memory_fraction,normalized_cap_residual,normalized_exact_residual,normalized_x,normalized_y,output_residual_bits,pareto,passes,projective_error,r,requested_payload_cap_bits,rss_peak_bytes,run_id,schedule,seed,semantic_status,theorem_diagnostic_status,wall_time_ns
11240,21352,16,64.0,17,3240,4624,3240,,0,14416.0,echo,184,1712,184,936,224,1,0.0,0.046134179731650994,0.5,True,35,14416.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p1-s20260801-d57ee5112edf/run_manifest.json,8f9baa3533742963122d0e164ed2b31be81fa6b4f0b9e54bd5809791f05c9a48,184,1712,608,936,1192,0.0,225.25,225.25,50.625,175.625,21288.0,True,1,0.0,2,0,27951104,echo-m16-r2-K16-p1-s20260801-d57ee5112edf,round_major,20260801,pass,pass,2910459
11240,21352,16,64.0,17,3240,4624,9720,,0,20896.0,echo,184,1712,184,936,224,3,0.0,0.046134179731650994,0.5,True,69,20896.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p2-s20260801-0454be7cbb7d/run_manifest.json,52942070390506201c2721147a928cfb1ae19120dd04774cc54121c9ec6ec41d,184,1712,608,936,1192,0.0,326.5,326.5,151.875,175.625,21288.0,True,2,0.0,2,0,29114368,echo-m16-r2-K16-p2-s20260801-0454be7cbb7d,permuted_within_round,20260801,pass,pass,5143750
11240,21352,16,64.0,17,3240,4624,9720,,0,20896.0,echo,184,1712,184,936,224,3,0.0,0.046134179731650994,0.5,True,69,20896.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p2-s20260801-acfc3da6a58d/run_manifest.json,10a92996cfdb5edfd9d851547e6bdca1e1b2f8d5a7e2de755eb1195c2c7ee582,184,1712,608,936,1192,0.0,326.5,326.5,151.875,175.625,21288.0,True,2,0.0,2,0,29261824,echo-m16-r2-K16-p2-s20260801-acfc3da6a58d,round_major,20260801,pass,pass,4964667
11240,21352,16,64.0,17,3240,4624,9720,,0,20896.0,echo,184,1712,184,936,224,3,0.0,0.046134179731650994,0.5,True,69,20896.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p2-s20260802-37a564422195/run_manifest.json,bb53075dddb645a22162cad3aad9743f88c1bab04b7accf126364f8c8e4d2aba,184,1712,608,936,1192,0.0,326.5,326.5,151.875,175.625,21288.0,True,2,0.0,2,0,29310976,echo-m16-r2-K16-p2-s20260802-37a564422195,round_major,20260802,pass,pass,5066791
11240,21352,16,64.0,17,3240,4624,9720,,0,20896.0,echo,184,1712,184,936,224,3,0.0,0.046134179731650994,0.5,True,69,20896.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p2-s20260802-9420cb0d7d06/run_manifest.json,0eeb73f62835137dbe976d8895947f963648960675f46757d307bfca05c8c56e,184,1712,608,936,1192,0.0,326.5,326.5,151.875,175.625,21288.0,True,2,0.0,2,0,29310976,echo-m16-r2-K16-p2-s20260802-9420cb0d7d06,permuted_within_round,20260802,pass,pass,4972250
11240,21352,16,64.0,17,3240,4624,22680,,0,33856.0,echo,184,1712,184,936,224,7,0.0,0.046134179731650994,0.5,True,137,33856.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K16-p4-s20260801-f2b0159b0cea/run_manifest.json,f6298c98eec933b8d3695969335bfae5b8ce4ca703694d13939722579ee264bb,184,1712,608,936,1192,0.0,529.0,529.0,354.375,175.625,21288.0,True,4,0.0,2,0,29310976,echo-m16-r2-K16-p4-s20260801-f2b0159b0cea,round_major,20260801,pass,pass,9434125
11240,21352,2,16.0,3,3240,4624,3240,,0,14464.0,echo,184,1712,184,936,224,1,0.0,0.24999999999999997,0.5,True,35,14464.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K2-p1-s20260801-dfa3d11b20a2/run_manifest.json,2d00edcbe05c6f596bbfe577246d485a6da528a45f531d1f0fbd8c1998a63ad1,184,1712,608,936,1192,0.0,904.0,904.0,202.5,702.5,21336.0,True,1,0.0,2,0,29360128,echo-m16-r2-K2-p1-s20260801-dfa3d11b20a2,round_major,20260801,pass,pass,2874667
11240,21352,2,16.0,3,3240,4624,9720,,0,20944.0,echo,184,1712,184,936,224,3,0.0,0.24999999999999997,0.5,True,69,20944.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K2-p2-s20260801-31d7037d37ad/run_manifest.json,d001cd489257ebf88ef21539f45130d48bfd4f07731968af5552024313f43f69,184,1712,608,936,1192,0.0,1309.0,1309.0,607.5,702.5,21336.0,True,2,0.0,2,0,29360128,echo-m16-r2-K2-p2-s20260801-31d7037d37ad,round_major,20260801,pass,pass,4922833
11240,21352,2,16.0,3,3240,4624,22680,,0,33904.0,echo,184,1712,184,936,224,7,0.0,0.24999999999999997,0.5,True,137,33904.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K2-p4-s20260801-dc5dfe1c9c65/run_manifest.json,99ee8758428cd167440e6e5a9f02c87d69059073f09b0ba1d1e390d119ad9949,184,1712,608,936,1192,0.0,2119.0,2119.0,1417.5,702.5,21336.0,True,4,0.0,2,0,29360128,echo-m16-r2-K2-p4-s20260801-dc5dfe1c9c65,round_major,20260801,pass,pass,9202417
11240,21352,4,32.0,5,3240,4624,3240,,0,14448.0,echo,184,1712,184,936,224,1,0.0,0.1545084971874737,0.5,True,35,14448.0,16,data/runs/w3-tradeoff-20260802-local/echo-m16-r2-K4-p1-s20260801-606013519e15/run_manifest.json,ff69310d55ff94aa881032eb070f289bb43069ab4528d7a778818cea6fa7cea3,184,1712,608,936,1192,0.0,451.5,451.5,101.25,351.25,21320.0,True,1,0.0,2,0,29360128,echo-m16-r2-K4-p1-s20260801-606013519e15,round_major,20260801,pass,pass,2771792
